country,iso_code,outcome,model,cooks_distance,studentized_residual,hat_value,cooks_threshold_4_over_n,flag_influential,flag_large_studentized_residual
Benin,BEN,daly_rate,M2_primary,4.742633208190039e-06,-0.04176769455697294,0.028846921449515898,0.025,False,False
Denmark,DNK,daly_rate,M2_primary,3.6080496625042454e-06,-0.036664500051432895,0.028490501870783884,0.025,False,False
North Macedonia,MKD,daly_rate,M2_primary,3.586318816137462e-06,0.03842921163369034,0.025847895160931094,0.025,False,False
Czechia,CZE,daly_rate,M2_primary,3.243569221447852e-06,0.03763938359817038,0.024405066269234128,0.025,False,False
New Zealand,NZL,daly_rate,M2_primary,2.9186423710625927e-06,-0.019604005049585062,0.07661981225410604,0.025,False,False
El Salvador,SLV,daly_rate,M2_primary,2.1673897348855034e-07,0.006023035425421295,0.061278904586213226,0.025,False,False
Montenegro,MNE,daly_rate,M2_primary,7.105529098494495e-08,0.00556284048582046,0.024474292733450483,0.025,False,False
Qatar,QAT,death_rate,M2_primary,0.1548362697753593,-3.595176035180805,0.12458784434539535,0.025,True,True
Japan,JPN,death_rate,M2_primary,0.12108724895548377,-2.0986824732760754,0.23624520700343718,0.025,True,True
United States,USA,death_rate,M2_primary,0.07010329630663412,0.8755561477137261,0.5010835291097324,0.025,True,False
